ID,Age,Gender,Race,Occupation,Education,Annual income (USD),What VR headset (or head-mounted display) do you use for SVR?,Which Social Virtual Reality (SVR) platform do you use the most? - Selected Choice,For how long did you use the main platform?,How often do you use your main platform (in hours per week)? - 1,How do you feel being anonymous in a virtual space?,What does it mean for you to be represented by the avatar in SVR?,When and why do you 'mute' other SVR users (if ever)?,How does it feel when people you know make eye contact and/or stare at you in SVR? Why?,How does it feel when strangers make eye contact and/or stare at you in SVR? Why?,What do you feel when someone known to you tries to virtually touch you? Why?,What do you feel when a stranger tries to virtually touch you? Why?,"Have you ever felt unsafe during interactions with others? If yes, in what situations and why?"
svr18,25,Male,White,Customer Support Agent,Some School,Less than $15 000,HTC VIVE,Facebook/Meta Spaces,Around 6 months,3,It can be freeing and also protective ,"Nothing really, it's not a big of a deal as these questions make it seem",When they start being rude or displaying bigoted behaviour,"Feels less awkward than irl, maybe because they're not actually doing it physically",Same thing as previous,Feels weird because I can't feel it,"I'm a bit apprehensive because it's a stranger but in the end it's ok, it's not real","Yes, when I heard homophobic and transphobic comments from other user, for obvious reasons"
svr19,22,Male,Hispanic,Manager,Bachelor's degree,$35 000 - 49 999,Oculus,VR Chat,More than a year,12,"I like it, its probably the reason I keep using it.","I just choose funny avatars, so in a way they represent that im justa guy looking to laugh.",I mute if theyre playing extremely loud noises or have a very bad microphone,I find it very funny,"I dont think much about it, it just doesnt feel real until I get to know the person looking at me",I feel nothing.,"I feel nothing, its usually to annoy ","No, I havent felt unsafe."
svr21,29,Male,White,CDO,Ph.D. or higher,$75 000 - 99 999,Quest 2 ,Facebook/Meta Spaces,Around a year,2,"I like it, i mostly want to be forgotten. I try to be like a documentary camera, seeing but not interacting. Unless i'm in a particular good mood, in which i like to laugh and i hate being ignored. ","Not much in the sense that i don't have a big pride of my svr life. It's just a tool for me to combat isolation, i'm not building a life parallel to meatspace. ","I don't do it, as i like to hear other people voices to combat my isolation. ",It feels normal. I do the same. ,"I don't feel much at all. I'm used to staring and getting stared. It's normal and part of why we go online, to see and broadcast your personality through an avatar. ",Nothing. I don't feel anything physically. ,"If many people come close it can feel claustrophobic, because they literally obscure your pov","Nope, they can't really hurt me. It's a videogame. "
svr23,21,Male,White,Stutend,High School Diploma,Less than $15 000,PSVR,RecRoom,More than a year,1,A little safer,It shows what type of person I am,If they are getting annoying or if they are making noise while I'm trying to listen to other people,"I don't really feel anything special, it's normal","A little more awkward than whit someone that I know, because I am not so much used to them",That is kinda weird because i don't really like being touched,Once again it is weird because I don't enjoy being touched and also I don't really know the person,It never happened to me
svr25,24,Male,White,lawyer,Master's degree,$35 000 - 49 999,Oculus Quest 2,VR Chat,Around 1 month,6,I don't feel anonymous,"That is, the avatar corresponds to my characteristics and descriptions. If it's not like me, it expresses my emotions and likes","When I talk to my friends on a call so as not to disturb others in the game. When I have something to say to other people, I unmute myself",This is completely normal for me. I don't understand why they would avoid it,Same as above. I don't understand why they would avoid it,It's pretty funny to me because we know we're not going to make physical contact,This situation is a bit awkward and weird. Especially when it's unexpected,There were no such situations in SVR
svr27,22,Male,Black,Studying,Bachelor's degree,$15 000 - 34 999,Virtual reality glasses ,Facebook/Meta Spaces,Around 6 months,8,Good when i dont know the environment i prefer being anonymous ,It means i am able to still be me but in a different state,When i feel like their tone when talking has changed or they are making me uncomfortable. An their environment is destructive.,It is awkward as the space in virtual reality is different an sometimes i just don't know how to respond ,It feels unsafe as you don't know their motives or how they would respond to you,It is weird as virtual reality is a space where you are able to feel the environment but in your own personal comfort space,It feels weird also an a bit uncomfortable such as being in my personal space,"Yes,someone trying to touch you an they actualy talk to you aggressively mostly in spaces where i don't know the people who are there virtually"
svr32,38,Male,White,Disability Pensioner,Some School,$15 000 - 34 999,Quest 2 modified and connected to PCVR,VR Chat,More than a year,20,"Alot of people care about this one, I'm one of the few who don't, I freely share who I am irl and in VR as I truly don't care.","My friends know when they see that avatar it's me even without seeing my name, it is me.","If they are trolling, playing loud music or being a jerk.","It feels natural and real, like I'm having a conversation with a real person, their avatar represents them it's no different from real life.","I don't mind, here can be many reasons from them being new to them wondering about an avatar to them not knowing how to approach someone so I'll often ask ""what's up"".","I don't care, my friends and I often touch each other in VR, many of us have phantom sense which depending on were touched can be funny, personally I have it on my face so it kind of tickles me if someone touches my face.","Again I don't care, they are welcome too, I'm very open to touch in VR so I don't mind.",Never.
svr33,24,Male,Hispanic,"Part time office job, and student",Bachelor's degree,Less than $15 000,WMR - Acer VR headset,VR Chat,Around 6 months,1,I dont feel really anonymous because of usernames.,The avatar represents how I want to be seen.,When they are not there for social interaction as much as just amusing themselves with soundboards and loud noises.,"It doesnt feel like actual eye contact, except for the ones that actually have eye trackers that follow you without moving their heads.","It makes me want to talk to them, or makes me expect some sort of interaction like an emote or animation/dance.","Nothing, I got used to them not being able to actually do it.","Sometimes disgust, as I usually choose female models to represent myself. Otherwise, I feel nothing.","Not really, when I feel uncofrotable I just disconnect or change the space im in."
svr34,24,Male,Hispanic,Student,Bachelor's degree,$35 000 - 49 999,Oculus VR ,Facebook/Meta Spaces,Around a year,12,i think its great because sometines you just want to hang around and dont want to be annoyed by others,is a part of who i am in real life ,when they are rude to me or they try to do innapropiate things,i think its not relevant because the gestures are not accurate and they coul be watching something else behind me por example ,"indifferent, as i mentioned the gestures are not accurate and they could be watching someething else",funny because they cant ,"funny because they cant do it in real person, however it tends to be a bit weird that they have that interest ",never 
svr35,27,Male,White,IT,Master's degree,$15 000 - 34 999,Occulus Rift,VR Chat,Around a year,8,"It makes me feel more open to talk with random people, I don't need to show my face so I'm able to be funny how I like.",It actually makes me feel good to use an avatar of a series I like. Or a meme. ,I mostly mute myself when I'm interrupted in my home. I only mute other users when they are making way too much noise and since I suffer from tinnitus i need to take care of my ears,"I actually don't feel anything when people stare at me, just makes it seem they are listening and interacting to me. ",It's pretty much the same when people I know do it. It doesn't make me feel any different at all. 9,I mostly play around in vrchat so I usually touch them back or play along with them ,I usually fool around with strangers so I might try and fight them for fun if they touch me. ,No it never happened to me 
svr36,46,Male,White,IT consultant,High School Diploma,$75 000 - 99 999,Oculus quest 2,Facebook/Meta Spaces,Around 6 months,2,I feel liberated and free.,"It means a lot, as that is my personal VR identity.",I only mute if someone talks to me in the 'real' world.,"It can be a little unnerving if they look at me for too long, especially if they say nothing.","Really uncomfortable, though I dont really talk to strangers much.","It depends if they would touch me in real life. If so it is fine, if not then it feels awkward.",I wouldn't like it if that happened to me. It would feel really uncomfortable.,No I have never felt unsafe.
svr37,22,Male,Hispanic,Student,Bachelor's degree,$35 000 - 49 999,Quest 2,Bigscreen VR,Around a year,10,"really good,helps a lot to shy people","since i havent grown attached to an avatar yet,almost nothing ","if they are being racist,agressive or anoying. Also there are a lot of minors (8-13) that are either just screaming or activelly being toxic.","usually you can know where they are looking at you,specially in places like vr chat when everyone has diferent skins.","unless they have a creepy/unconfortable skin, nothing really.",tend to usually spect a touch until i remember they arent really touching me,nothing,no
svr38,33,Male,White,Sales,Bachelor's degree,$15 000 - 34 999,Oculus Quest,Bigscreen VR,More than a year,6,"I like it, but don't take advantage of it. ",Its good to be able to set it to be as much like you as possible. ,When they're loud/crass etc.,"I don't take much notice of this, but just block them if they're being odd.",I don't see this happening. ,"Strange when they invade personal space, I tend to move away.","Strange when they invade personal space, I tend to move away.",No.
svr39,30,Male,Black,Information Technology Manager,Bachelor's degree,$75 000 - 99 999,Meta Quest 2,Facebook/Meta Spaces,Around a year,5,I find it normal.,"It means a lot, I think having a reflection of myself in real life is important.",I have never muted another SVR user.,"I don't mind it at all, its a pretty new experience in a VR world. ",Kind of weird but I don't find it that off putting.,It depends on the context just like in real life.,I don't think that is appropriate. I make it known to respect the boundaries. ,I have never felt unsafe.
svr41,25,Male,White,Student,Some School,Less than $15 000,Oculust Rift CV1,VR Chat,Around a year,2,I like it but with friends that i've met over VR we did lose that anonymity.,It doesnt really represent me it's more of a I really like this character so I'm using this.,"If they are annoying not as a person but rather then spamming loud noise screaming etc, very rare case if they are really rude to other or to me even.","It's hard to understand since facial expressions arent present so that person might have just taken off his/her VR headset and the avatar is just staring at your, but with close friends I think it can give you the same sign as in real life that if he wants help or letting me know to I should hang out somewhere else for now.  Depends on the situation aswell.","Makes me think like I said before could be off the headset, but I do think if that person annoyed by me or finds me entertraining.","I do not have ""phantom sense"" so for me it's nothing.",Nothing if they are keep pushing it just for the sake of being annoying I tell them off.,No I always know whem I'm in VR so just taking off the headset I'm gone from there so.
svr45,28,Male,White,Security Officer,High School Diploma,$35 000 - 49 999,Oculus Quest 2,VR Chat,Around 6 months,4,it definitely provides the safety and ability to be more free and in a way more expressive,It's definitely an enjoyable experience to be represent by something that ,"When people are audio spamming I can find the mute feature useful, some people can spam some really offensive things and it's definitely commonplace to mute these issue users.",It can honestly be a little disturbing with some virtual characters but it's much less intimidating. ,"While intimidating with strangers, it opens the door for communication and generally you can learn more about someone.",It really doesn't bother me unless they're clipping into me but then I would ask them to step aside or move myself,"This one can be odd, but usually if they're in my face I would just hide them.",I have not
svr46,33,Male,White,Manager,Master's degree,$75 000 - 99 999,Oculus Quest 2,VR Chat,More than a year,10,"I think it’s nice, it feels freeing.","It’s nothing too special, I just see it as a character I’m using to represent me temporarily.",I might mute someone if they’re being unnecessarily loud or rude,"It feels like I’m being acknowledged, so pretty good","It makes me feel uneasy, who knows what they’re thinking.","I might or might not be uncomfortable, depending on who it is really.",I usually feel uncomfortable because I don’t know their intent.,No.
svr48,23,Male,White,Unemployed,High School Diploma,Less than $15 000,Oculus Quest 2,Bigscreen VR,Around 6 months,2,I enjoy being anonymous in any space as it suits my personality. I feel it lets me express myself a bit more.,It represents who I am in real life and allows me to express my personality.,"If they are being rude or annoying I would mute them. They are not adding anything to the conversation/room and in fact, taking away from it.",It feels similar to real life but doesn't have that human connection as their eyes are usually pretty still and dead. It feels like an AI bot is looking at you most of the time.,I would say it feels basically the same as when someone I know looks at me. It feels like an AI bot is looking at you most of the time.,I don't feel much because I know the person and it's virtual reality.,"Sometimes it could feel like a breach of personal space but most of the time it doesn't really feel like much because again, it's VR.","No, I have never felt unsafe as it is a virtual environment and I can leave whenever I want to."
svr50,28,Male,Asian,Freelancer,Bachelor's degree,Less than $15 000,Valve Index,VR Chat,Around 1 month,1,Feels like any other social media platforms it can bring the best or the worst out of people because they think there are no repercussions because of their anonymity.,The avatar doesn't really mean much to me in terms of representation. After all it's just a game so I dont really care about appearance much.,Only if they are obnoxious or toxic.,I don't feel any awkwardness because they are people I know.,"Depends how long they stare at, if it's a long time and while I'm moving around it could be a little weird. If it's a short glance then I don't really mind.","Doesn't really bother me, maybe because I don't really physically feel it unlike in real life.",Might be a little weird but the same answer as above question.,No.
svr51,41,Male,White,Engineer,Bachelor's degree,$75 000 - 99 999,Oculus Quest 2,Bigscreen VR,Around 1 month,5,It's far preferable to be anonymous. It's great to be able to leave unpleasant situations and have people not be able to track you down or follow you.,"I often forget the avatar is there, I feel more represented by my voice.",They will often enter a room and not read the room before being loud or obnoxious. They will interrupt conversations with rude irrelevant talk. Muting them just removes them from the conversation completely.,It's a bit strange because the headset has no way to actually track eye contact. It just assumes that you are looking at nearby people and locks onto them. I generally assume people are looking at me but I know that I often look all over the room when talking with people.,"It sort of feels a bit like ""okay this person wants to join in...who are we going to get this time? who is this?"" In other words, not awkward. Just another person trying to participate.",I don't feel anything at all. It doesn't mean anything really.,I don't really care about that. It's not like being physically touched at all.,Not at all. 
svr52,22,Male,Asian,Retail,Bachelor's degree,$35 000 - 49 999,Playstation VR,VR Chat,Around a year,6,Makes it feel fun that nobody can see your physical self and judge you but just judge virtually.,It makes it more enjoyful to act as a character in vr and its meaningful I would always try putting myselves in character shoes.,I only mute them when they become rude/disrespectful.,If I know them it doesnt matter normally just to have fun and makes me laugh,If strangers are not inviting and are weird then I try get away but normally they are just curious.,Just have fun make jokes touch them back and just enjoy,It doesnt really do anything unless they become appropiate because its not real life.,Never
svr54,24,Male,White,Student,Bachelor's degree,$15 000 - 34 999,Meta quest 2,Facebook/Meta Spaces,Around 1 month,2,It's good since I can stop worrying about what I see if i do a mistake of anything since it cannot hurt me in the real world,I like the avatar I created and I think it looks like me so I feel good being represented by my avatar,N/A,"It feel real but not at the same time so I'm not as shy as in the real world, I know that's virtual and that's easier","It feel real but not at the same time so I'm not as shy as in the real world, I know that's virtual and that's easier","I feel good if i know the person in real life, that's ok with me ","I feel a little violated in my space, but it's really not comparable as the real world, I will maybe say to the person to leave me some space, to back up a little but not much more than that",
svr56,22,Male,White,,High School Diploma,Less than $15 000,Oculus rift S,VR Chat,More than a year,5,"I love it. It feels like true freedom, as cliche as that sounds.",I really don’t care. I’d use any avatar so I don’t need representation. It’s not a true representation of myself anyways.,"I don’t. The reactions, whether positive or negative, are the whole point of me using VR chat. Even if somebody is being obnoxiously annoying, I can deal with that. ","At first it tripped me out. Uncanny valley territory. Now it just feels normal, I’m used to it.","At first it tripped me out. Uncanny valley territory. Now it just feels normal, I’m used to it.",It doesn’t bother me. It’s not like they’re actually touching me.,Same as above ,No. There’s not a lot people could do to do anything to you in real life via VR.
svr60,18,Male,Mixed race,Student,High School Diploma,Less than $15 000,Quest 2,VR Chat,Around 6 months,6,It definitely helps with my social anxiety compared to real-life social environments.,"For me, it means that the avatar matches my current mood and fits my identity as a whole.","When they're loud and annoying enough that it interferes with my conversations with my friends, though I've only done it once or twice.","I will wonder what they're thinking of and ask them, because that seems unusual.",I will think they're looking at my avatar and not really think too much about it.,"I would probably think they're stupid if they did that for no reason/without it being a joke, since you can't touch people in SVR.",Same as above.,"As I described a few questions above, I would remove myself from a situation before it ever got anywhere close to that point."
svr62,31,Male,White,IT manager,Bachelor's degree,$50 000 - 74 999,Oculus rift 2,VR Chat,More than a year,5,"Good, if it is anonymus that is.
just as it should be. it's a chatroom, nothing else.","nothing, it's usually just for laughs.",Have never used the mute function.,"Just like we would in the real world, maybe a little creepier.","weird, but also a bit funny since you can not know for sure how ""there"" they are.",like a game.,like a game.,nope.
svr64,30,Male,Black,Retail Department Manager ,Bachelor's degree,$50 000 - 74 999,Oculus Quest 2,VR Chat,Around a year,8,I feel comfortable as I am free to say whatever I’d like,It enables me to show people who I am and what I am into ,I mute users who are rude and don’t respect others,I feel good as I assume they are admiring my avatar ,I feel indifferent ,I am fond of it as it feels like they admire me,I am polite so I am cool with it,I have when a user started making rants and started swearing and making threats
svr65,50,Male,White,Unemployed,High School Diploma,Less than $15 000,Meta Quest 2,Facebook/Meta Spaces,Around 1 month,2,I quite like it. I'm happy being left alone to do my own thing.,"It's important that my avatar looks ""right"", as it is my online persona. I'm used to computer gaming, so having a character represent me is nothing new.","Usually if they are obviously children, or just people who are acting like them!","It actually doesn't bother me, because I know they can only see my avatar.",As uncomfortable as it would in real life. I would probably head for my home space.,"Honestly, it would not bother me.","It would feel quite uncomfortable, as it is still an invasion of my personal space.","Honestly, no. Just annoyed by the occasional idiot."
svr66,19,Male,Mixed race,business,High School Diploma,Less than $15 000,Oculus,VR Chat,More than a year,4,I would say it is reassuring and not reassuring at the same time. There are people who can be potential predators and you wouldn't know until it was too late.,"I would say a lot. An avatar represents what you enjoy, or what you consider yourself as even.","I mute toxic individuals because frankly, I don't enjoy others screaming into their mic or just being upright and rude.","I would say I don't really mind. If I know them, then I may joke around with them, but that's it.","I would probably just talk to them about it directly, or just ignore them and go about my day unless they finally talk to me.","I would back off, immediately and say no. I enjoy virtual reality, but not for any actual touching reasons regarding people.","I would back off, again and say no. I would probably leave the world as well, as I would never swing that way with individuals randomly on the internet.",I haven't had any interaction that made me feel unsafe.
svr69,26,Male,White,Teacher Aide,High School Diploma,$50 000 - 74 999,Occulus Quest 2,Facebook/Meta Spaces,Around a year,3,Indifferent,"A white male, pretty generic so I'm unphased",When people become disrespectful and abusive,Indifferent - thats not something that affects me,See above,"Fine, I'm not worried, its just life?",See above,No
svr71,24,Male,White,Student / Software developer,High School Diploma,$15 000 - 34 999,HTC Vive,VR Chat,Around a year,8,I was a member of a lot of forums years ago. Maybe the experience is similar.,It doesn't mean anything. I simply like that experience.,If they start to become annoying (talking too much or insulting).,"As I shy person, I must say that it's always embarassing.","Always embarassing, but an ordinary not-shy-person should be used to it.",It never seems like a real contact.,"It never seems like a real contact, so no problem.","Not unsafe, just insecure because of my shyness"
svr72,37,Male,Black,Sales development representative ,Bachelor's degree,$35 000 - 49 999,PlayStation 4 VR,Bigscreen VR,Around 6 months,2,It feels good .,I feel okay with it as if it was me personally sometimes I would not be ready or haven't fixed myself for the SVR meaning not looking well dressed .,If they forgot to turn off their mics or speaker and they having a background noise .,It means they need an answer or my input on the matter.,I don't feel anything as I stare back .,Haven't seen that happening in my meetings .,I feel nothing as the distance is separating us.,No I haven't.
svr73,30,Male,Hispanic,Software Tester,Bachelor's degree,$15 000 - 34 999,Meta Quest 2,VR Chat,Around 6 months,1,"It feels great. Strangers doesn't know who I am in real life, and as long as I keep my personal information to myself, I have fun talking with other people without revealing who I am. ","It means that I can be someone else. That my online avatar look like me in real life. It feels kind of nice to be free for a moment, to look like someone I admire even if it's fictional. ","When they are being annoying, blasting music or screams through their microphone. Sometimes, we cannot escape some people since we are enjoying what we're doing, but when people like those who blast music through their mics just want to be annoying, we just mute them so we can play/chat in peace. ","Sometimes, is kind of weird since avatars don't blink. Most of the times is not that bad, since we're talking constantly and don't pay attention to these details. However, when someone is not looking directly into my eyes and they're looking elsewhere on my avatar, it feels really uncomfortable.  ","At first, it feels weird, uncomfortable. If they speak, it makes it less weird. Now that I think about it, it's almost the same as chatting in real life. However, if they keep staring at me without saying a word feels kind of creepy, as it would in real life. ","It doesn't feel good, but since I mostly play with my friends, we mess with each other doing some funny stuff. Obviously, we know it's just a joke and we mean no harm. If someone starts to feel uncomfortable, we stop doing what we're doing immediately. ","Not good. I know it's not possible to feel anything, but since I'm really immersed due to using a VR headset, I feel like it's actually happening in real life. I've had some nasty interactions before with other users, even my friends have had them. ","I don't think that time was real, but some random user started streaming some audio about a woman being physically abused it seemed. I think he/she just found the audio online and just streamed it through his microphone, but it was unpleasant nonetheless.  "
svr75,20,Male,White,unemployed,High School Diploma,$50 000 - 74 999,valve index,VR Chat,More than a year,8,It feels like im let loose from my problems and i can be anyone i want to be.,It feels like I am the avatar I choose.,"Only If they are being racist or just generally mess with the conversations with others, for example playing loud music without acutally talking (that happens a lot in VR Chat)."," It doesn't really feel in any specific way, it's the same as if a friend stared at me in real life.","It sometimes feels intimidating, but I dont really care much about it. It feels intimidating, because I don't know them yet, so sometimes I'm kinda scared to just walk up and be the first to start a conversation.",It almost feels like If someone touched you in real life (as long as you can see it that is).,Same as before it almost feels like If someone touched you in real life (as long as you can see it that is).,"Nope, never in VR."
svr77,35,Male,White,"Writer, Musician",Master's degree,$50 000 - 74 999,Oculus Rift S,VR Chat,More than a year,6,I like it so far. It gives a certain freedom to introverts like me.,"Well, it's a way to express my taste and experience. I don't think it means anything deep or truly personal, I don't think too much of it.","When as I mentioned before, I mute annoying or very obnoxious people. people who are just trolling or ""meme""ing, I don't care about trolls at this point tbh. Already had a great deal of them, they stopped being funny like 10 years ago.",I doesnt feel any different to real life. It just normal feeling. If you know the person right,"It doesnt feel as intimidating as in real life. Its actually could be fun, as sometimes you can see those pikachu eyes suddenly staring at you, its hillarous. Thats the thing, you don't need to take VR too seriously, and you will have fun 100& of the time.","Well depending on the person, its normally ok with me, as they cant really  ""touch"" me. Sometimes it plays tricks on your head but you must remind yourself that its just and virtual imitation, nobody can touch you.","Well it can be awkward sometimes, I mostly try to ignore it when it happens as I haven't even seen it,",I dont think I was ever scared or felt unsafe to be honest. It don't let it get to my head too much.
svr79,57,Male,White,Archviz (including VR development),Bachelor's degree,$100 000 or more,Quest 2,Bigscreen VR,More than a year,4,I prefer it simply because some people might judge me for using social VR.,An avatar is more or less just a placeholder for me.,"Occasionally, I will mute someone that is being loud and obnoxious or if they are just obviously trolling people.",It can help to convery the message that the person is paying attention to what you are saying.,I suppose it is similar to real life in that prolonged staring can seem a bit awkward.,"It is somewhat strange because you know they are touching you yet, without haptic feedback, you typically feel nothing. Sometimes the brain fills in the blank though and you do in fact feel as if you are being touched. ",I prefer that they don't touch me in the same way that I prefer it in real life.,No
svr81,39,Male,Hispanic,IT Manager,Master's degree,$50 000 - 74 999,Oculus Quest 2,Bigscreen VR,Around a year,14,I feel safe,I like to be inmersed in SVR but does not care too much about my avatar,I never mute other SVR users,"It feels good, I feel they're paying attention to me when they look me directly in the eye","I don't mind, when some stranger make eye contact or stare at me I feel normal",I've never experienced someone trying to touch me when we are together in VR platforms,Strangers never have tried to touch me,Never felt at risk or unsafe
svr82,21,Male,Hispanic,,Master's degree,Less than $15 000,Oculus Quest 2,VR Chat,Around 6 months,5,I feel safer that way.,"It doesn't mean much from me, compared with other users.","If they're insensitive about a contentious topic, or just screaming.",It's just whatever.,I don't feel anything. They're just strangers,"I can allow them to get near me, I guess. It's ok.","Weird, I don't like to get too close to people",Unsafe? I don't think so. I'm very carefuñ with who I interact with.
svr84,23,Male,Hispanic,student,Bachelor's degree,$35 000 - 49 999,oculus quest 2,VR Chat,Around 6 months,1,"i like it, i can be more of myself",to relax in another world ,if the are too loud or i they are being mean,it feels normal maybe the avatar could make it weird but i would get use to,i feel a little intimidated but it is easier than in real life,some tingles ,"its feels wrong, i dont like ""being touched"" virtually without my consent",not really
svr89,27,Male,White,blogger,Some School,Less than $15 000,reverb g2,VR Chat,Around a year,1,Feels relaxing,"nothing much, privacy maybe",If they are being annoying,"I don't feel anything. It's very casual because there's no eye contact like in real life, yet...","I don't feel anything. It's very casual because there's no eye contact like in real life, yet...","Depends on the context, but it's all fun in most situations. I really don't feel anything","Same thing, I don't feel anything",no
svr91,22,Male,White,Student,High School Diploma,Less than $15 000,Oculus Rift S,VR Chat,More than a year,2,I like it.,"I feel it's a bit like social media, where you present yourself a certain way. It's fun if you don't take it too seriously.","If they are screaming children, spammers, trolls, or are blasting music for no reason. I also mute people with terrible mics.","It almost feels like they are actually staring at me in real life, I feel watched and possibly uncomfortable if it's a prolonged stare.","It feels quite odd, not as if it was someone in real life, but a smaller version of the same feeling.","I partially feel like they are actually touching me. It's a great social experience, I always find it amusing.","I feel weird. Not even close to what I would feel in real life of course, but it still feels ""wrong"".","I've felt mentally unsafe when dealing with people who are rude, as I am a socially anxious person, and have felt like taking off the headset."
svr92,34,Male,White,,High School Diploma,$75 000 - 99 999,PSVR,Facebook/Meta Spaces,Around 6 months,3,Has its positives and negatives,Just another way to express myself,If I want to do something else in the space and not listen to random conversations,Definitely not as intimidating,Again not as intimidating,"Nothing, I find it funny","Nothing, usually just do the same. It's a good ice breaker",No
svr93,33,Male,Hispanic,sub director of markerting,Master's degree,$35 000 - 49 999,"oculus, playstation vr",RecRoom,Around 6 months,1,"I think I feel calmer because I don't like to post private things with strangers
","means it's me
","I've never done
","It's strange because you know it's not normal life but at the same time it's intimate because it's something new
","weird because I don't know if they see me or something else
","funny because I know he wants to touch me but he doesn't feel anything
","nothing because most times I don't realize
","never because I don't often interact with strangers
"
svr94,33,Male,White,Retail,High School Diploma,$15 000 - 34 999,occulus rift,VR Chat,Around 6 months,20,Feels good. I can relax more,I don't really care too much about it,I usually do it if people are being obnoxious or trolling,I don't mind it. It's not weird to me,"It might be a little weird, but I probably wouldn't care",It's all part of the experience. I feel a bit closer somehow,"It's weird if I don't know them, but I don't care too much most of the time",No
svr103,24,Male,Asian,Engineer,Bachelor's degree,$50 000 - 74 999,Oculus Quest,RecRoom,Around a year,1,I feel like its a big benefit,Usually having the proper skin color.,I usually mute people when they are being very loud or being offensive to others.,I doesn't really feel like eye contact more like a videogame character looking towards your general direction.,It makes me feel like they have something to say to me or that they want my attention for something.,"Nothing really, it doesn't really have any significance to me.",Virtual touching has no big significance to me so it doesn't bother me.,No
svr106,28,Male,Black,software engineering,Master's degree,$100 000 or more,meta,Facebook/Meta Spaces,More than a year,11,it feels awesome like i am a superhero,it means a lot to my personality .i see my avatar as me,i dont usually mute anyone i like to keep it going,i dont feel shy unlike in the real world,i dont feel shy at all,you literally feel like its in the real world,i feel good .truth is i like virtual reality touches,yea. some people can be creepy
svr67,22,Non-binary / third gender,White,Unemployed,Trade school,$15 000 - 34 999,Valve Index,VR Chat,More than a year,4,"It feels so liberating and free, being able to express myself through my avatar and my actions while also staying completely anonymous, aside from my voice.","Having an avatar that reflects me as a person and what I enjoy is one of the best parts of SVR, even if some people think it's weird! It's such a raw form of expression to literally become something that you feel represented by","Since I mostly play in a group of people that I know, I never really have to mute anyone there. Public lobbies are a whole other deal though, and I often have to mute other people for a variety of reasons. Trolls are a common one, typically younger kids who just want to go on and cause trouble in public lobbies, they can be quite nasty at times!","If I know them, it's likely they're just joking around or trying to emphasise some kind of point. Doesn't really bother me at all, but if they're not responding or talking to me I'll likely get a little bit worried. It's not a big deal though.","This is much more uncomfortable. In VRChat, I typically only ever meet strangers in public instances, which have a pretty terrible track record of being full of trolls and other nasty people. If someone's staring, I'm preparing myself to mute them.","It doesn't bother me at all. Everyone I know well in VRChat, I've made sure to let my boundaries be known. Being touched by people I know is perfectly fine 99% of the time, and during the 1% when I want to be left alone, I just have to ask and they'll back off.","It still doesn't really bother me, but I'm much more apprehensive that something bad will happen. Like with the other question, I'll be preparing myself to mute and/or block within the worst case scenario, and usually I'll move away from the person.","During my first times playing VRChat, before I found the social group, I'd frequently get lost in public lobbies, desperately trying to find someone nice to talk to but constantly being swarmed by petty trolls and other bad actors. I avoided VRChat for so long because of these types of people."
svr74,28,Non-binary / third gender,White,Art Director,High School Diploma,$15 000 - 34 999,PS4 VR,Neos VR,Around a year,5,can give room to experiment things about us that we normally wouldnt,a sense of individual and free expression,when they are too loud or annoying or bad people,"Weird, because we are designed to recognize eyes and face human alike features and its experienced in a digital world","Weird, because we are designed to recognize eyes and face human alike features and its experienced in a digital world",Usually is ok since i dont feel anything in real life,Usually is ok since i dont feel anything in real life,i dont think so because i am careful about that subject
svr98,25,Non-binary / third gender,White,Translator,Master's degree,$15 000 - 34 999,Oculus Quest 2,RecRoom,Around 6 months,6,"It gives me a bit more confidence, compared to real life. While we are all strangers to each other in real life, it feels different in a virtual space as I can just leave the space when uncomfortable. We should learn to handle such situations, however, sometimes, all we need is to walk away.","I feel closer to my view of myself (as my original character is a bit of a ""better version of me"") and it's very important to me. On bad days, it's a cheer-up.","I mute other SVR users if they are being mean, disrespectful or just too loud. I want to enjoy my time in the platforms without having to hear someone cursing at me or screaming in my ear.","Compared to real life, where it bothers me, I am comfortable with it happening in SVR. Possibly because the eyes seem ""emptier"" than a real human's.",I'll answer the same as I did on the previous question. Neither bothers me in SVR.,"I often forget I'm in virtual reality so, to me, it feels natural that they try to touch me. I'm not entirely sure why, but I think it's because we simply get too immersed in the experience and the level of comfort causes that.","Assuming they're doing it to bother me, I feel uncomfortable, just like I would in real life. ","Fortunately, I have not."
svr100,30,Non-binary / third gender,Mixed race,part-time,Bachelor's degree,Less than $15 000,no,AltSpaceVR,More than a year,8,I feel fine about it.,Just that it' something that resembles me or my expression and it's something I will enjoy creating.,I mute when they are being too annoying or using slurs or offensive language.,"It feels cool like it's almost real, but it's really not but it makes the conversations more real I suppose.",It feels a little weird sometimes to be honest. I feel shy I guess. ,I don't feel anything to be honest. it's just funny because it's not real but should be I guess. ,"Well I feel creeped out honestly, that's why I put the bubble on.",The only time I felt unsafe in VR was when a user was really drunk and none of us knew if he was okay or if he would hurt himself because he seemed belligerent.
